Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город (курсы|обучение|переобучение|учеба)» по регионам, 24.10.2023 — 24.11.2023, все устройства
Санкт-Петербург;27;0,00000457;18,42;
Белгород;1;0,00000248;10,00;
Иваново;6;0,00001640;66,03;
Калуга;1;0,00000271;10,93;
Кострома;2;0,00000761;30,65;
Липецк;5;0,00001039;41,86;
Рязань;9;0,00001539;61,97;
Тверь;4;0,00000914;36,80;
Тула;2;0,00000374;15,07;
Ярославль;8;0,00001357;54,64;
Петрозаводск;23;0,00009472;381,30;
Сыктывкар;8;0,00003598;144,83;
Архангельск;3;0,00001021;41,11;
Вологда;16;0,00004771;192,06;
Калининград;3;0,00000772;31,10;
Мурманск;7;0,00002800;112,72;
Великий Новгород;3;0,00001328;53,48;
Псков;1;0,00000537;21,65;
Краснодар;5;0,00000362;14,60;
Волгоград;1;0,00000115;4,64;
Ростов-на-Дону;4;0,00000287;11,56;
Йошкар-Ола;1;0,00000481;19,37;
Казань;1;0,00000083;3,35;
Ижевск;3;0,00000534;21,51;
Киров;2;0,00000392;15,78;
Нижний Новгород;34;0,00001862;74,96;
Оренбург;12;0,00002113;85,07;
Пермь;203;0,00021548;867,40;
Самара;13;0,00001104;44,45;
Курган;8;0,00003278;131,98;
Екатеринбург;76;0,00003829;154,14;
Тюмень;28;0,00003377;135,94;
Челябинск;13;0,00001120;45,11;
Ханты-Мансийск;6;0,00005181;208,57;
Салехард;12;0,00021957;883,84;
Красноярск;26;0,00002264;91,15;
Иркутск;15;0,00002354;94,78;
Кемерово;2;0,00000431;17,38;
Новосибирск;35;0,00001894;76,24;
Омск;4;0,00000438;17,63;
Томск;14;0,00003485;140,31;
Чита;3;0,00000951;38,30;
Якутск;10;0,00004751;191,24;
Владивосток;5;0,00001062;42,77;
Магадан;4;0,00007797;313,87;
Южно-Сахалинск;10;0,00007604;306,12;
Симферополь;1;0,00000230;9,28;
Минск;4;0,00000531;21,38;
Уфа;8;0,00000718;28,92;
Брянск;4;0,00000885;35,65;
Воронеж;5;0,00000431;17,37;
Саратов;1;0,00000116;4,67;
Ульяновск;1;0,00000195;7,85;
Барнаул;1;0,00000165;6,64;
Москва;46;0,00000300;12,08;
Пущино;1;0,00007103;285,93;
Магнитогорск;16;0,00005941;239,16;
Набережные Челны;1;0,00000275;11,08;
Новокузнецк;21;0,00006042;243,24;
Сочи;2;0,00000405;16,32;
Череповец;7;0,00002750;110,70;
Выборг;2;0,00003514;141,48;
Новороссийск;1;0,00000500;20,14;
Дзержинск (Нижегородская область);5;0,00002917;117,43;
Сургут;10;0,00003165;127,40;
Находка;1;0,00001575;63,41;
Братск;11;0,00007996;321,87;
Таиланд;5;0,00009911;398,98;
Нижневартовск;11;0,00006063;244,09;
Абакан;1;0,00000633;25,48;
Грозный;1;0,00000822;33,12;
Анапа;5;0,00004133;166,37;
Тбилиси;6;0,00011942;480,71;
Губкин;4;0,00007092;285,49;
Старый Оскол;3;0,00001671;67,27;
Кинешма;1;0,00002012;81,01;
Балашиха;1;0,00000194;7,82;
Бронницы;4;0,00020215;813,73;
Домодедово;2;0,00001219;49,08;
Коломна;1;0,00000815;32,81;
Луховицы;1;0,00004027;162,11;
Люберцы;1;0,00000352;14,19;
Ногинск;3;0,00003169;127,59;
Одинцово;1;0,00000491;19,78;
Пушкино;1;0,00000779;31,36;
Ступино;2;0,00002613;105,21;
Касимов;5;0,00025838;1 040,10;
Ярцево;1;0,00004048;162,95;
Бологое;1;0,00008201;330,14;
Новомосковск;2;0,00002087;84,01;
Северодвинск;4;0,00003147;126,68;
Великий Устюг;1;0,00004857;195,53;
Апатиты;1;0,00002901;116,81;
Мончегорск;9;0,00030706;1 236,04;
Боровичи;1;0,00002819;113,50;
Валдай;4;0,00044018;1 771,91;
Старая Русса;3;0,00016336;657,58;
Сортавала;3;0,00024260;976,55;
Воркута;4;0,00011774;473,98;
Ухта;7;0,00010476;421,70;
Урюпинск;1;0,00004485;180,54;
Армавир;5;0,00005283;212,67;
Азов;7;0,00012787;514,75;
Белая Калитва;1;0,00004240;170,68;
Гуково;6;0,00023749;955,97;
Ессентуки;1;0,00001519;61,14;
Пятигорск;3;0,00003036;122,23;
Павлово;3;0,00007590;305,53;
Саров;7;0,00011352;456,96;
Бузулук;1;0,00001385;55,75;
Гай;1;0,00004760;191,62;
Новотроицк;3;0,00006405;257,83;
Соликамск;10;0,00019106;769,11;
Нефтекамск;2;0,00002349;94,56;
Стерлитамак;1;0,00000596;23,99;
Нижнекамск;5;0,00003549;142,86;
Глазов;1;0,00001697;68,32;
Сарапул;1;0,00002034;81,90;
Димитровград;7;0,00008436;339,59;
Асбест;8;0,00019386;780,36;
Верхняя Салда;10;0,00039984;1 609,51;
Каменск-Уральский;28;0,00024552;988,30;
Краснотурьинск;5;0,00015937;641,54;
Кушва;3;0,00018183;731,93;
Лесной;22;0,00080277;3 231,42;
Нижний Тагил;44;0,00019429;782,12;
Нижняя Тура;5;0,00036779;1 480,49;
Новоуральск;7;0,00015193;611,58;
Первоуральск;12;0,00013866;558,17;
Серов;9;0,00019353;779,04;
Тобольск;10;0,00013023;524,25;
Югорск;4;0,00014394;579,41;
Когалым;6;0,00016208;652,43;
Лангепас;1;0,00004673;188,13;
Мегион;6;0,00021721;874,36;
Нефтеюганск;6;0,00008108;326,39;
Пыть-Ях;4;0,00017353;698,53;
Златоуст;4;0,00004645;187,01;
Копейск;1;0,00001181;47,54;
Миасс;4;0,00003926;158,04;
Озёрск;7;0,00015556;626,22;
Сатка;2;0,00007424;298,86;
Снежинск;7;0,00023210;934,29;
Чебаркуль;8;0,00032641;1 313,94;
Южноуральск;5;0,00021160;851,79;
Губкинский;1;0,00004941;198,90;
Новый Уренгой;8;0,00008568;344,89;
Ноябрьск;4;0,00006549;263,62;
Ангарск;5;0,00003756;151,20;
Тайшет;1;0,00004823;194,17;
Тулун;2;0,00008405;338,35;
Усолье-Сибирское;1;0,00002349;94,56;
Усть-Илимск;3;0,00007290;293,48;
Анжеро-Судженск;1;0,00002392;96,32;
Белово;1;0,00002252;90,65;
Междуреченск;1;0,00001681;67,69;
Прокопьевск;1;0,00001055;42,50;
Ачинск;6;0,00008725;351,21;
Енисейск;3;0,00025447;1 024,35;
Норильск;16;0,00016090;647,69;
Бердск;8;0,00010203;410,72;
Горно-Алтайск;1;0,00001779;71,64;
Стрежевой;2;0,00009730;391,70;
Дальнегорск;5;0,00039987;1 609,61;
Уссурийск;5;0,00006166;248,21;
Нерюнгри;12;0,00034611;1 393,22;
Керчь;5;0,00005833;234,80;
Выкса;3;0,00007456;300,16;
Кстово;10;0,00016964;682,87;
Железногорск;3;0,00006060;243,93;
Зеленогорск;9;0,00029426;1 184,53;
Усть-Кут;3;0,00009036;363,75;
Барабинск;2;0,00011061;445,24;
Новодвинск;3;0,00016079;647,26;
Невельск;10;0,00226299;9 109,34;
Ревда;23;0,00057547;2 316,47;
Качканар;7;0,00033072;1 331,28;
Березники;22;0,00026852;1 080,89;
Чайковский;19;0,00035956;1 447,36;
Лысьва;5;0,00012441;500,80;
Белорецк;5;0,00012627;508,29;
Жуковский;2;0,00002076;83,58;
Белоярский;5;0,00060967;2 454,14;
Невьянск;2;0,00013848;557,43;
Североуральск;6;0,00036785;1 480,73;
Реж;9;0,00044179;1 778,38;
Красноуфимск;11;0,00042520;1 711,58;
Верхняя Пышма;5;0,00008148;328,00;
Королёв;2;0,00000892;35,92;
Ивантеевка;1;0,00001097;44,19;
Каргасок;1;0,00015539;625,50;
Полевской;2;0,00004919;198,00;
Нахабино;1;0,00002079;83,69;
Берёзовский (Свердловская область);5;0,00009558;384,77;
