Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город (отзыв|мнения)» по регионам, 24.10.2023 — 24.11.2023, все устройства
Санкт-Петербург;10;0,00000169;63,52;
Кострома;1;0,00000380;142,70;
Тверь;1;0,00000228;85,66;
Тула;1;0,00000187;70,16;
Ярославль;1;0,00000169;63,59;
Петрозаводск;2;0,00000823;308,69;
Вологда;4;0,00001192;447,03;
Калининград;1;0,00000257;96,51;
Краснодар;1;0,00000072;27,18;
Казань;2;0,00000166;62,38;
Киров;2;0,00000392;146,94;
Нижний Новгород;2;0,00000109;41,05;
Пермь;24;0,00002547;954,75;
Екатеринбург;8;0,00000403;151,06;
Тюмень;1;0,00000120;45,20;
Новосибирск;1;0,00000054;20,28;
Омск;3;0,00000328;123,12;
Чита;1;0,00000317;118,86;
Южно-Сахалинск;1;0,00000760;285,00;
Симферополь;1;0,00000230;86,41;
Уфа;2;0,00000179;67,32;
Воронеж;2;0,00000172;64,70;
Саратов;6;0,00000696;261,07;
Улан-Удэ;1;0,00000345;129,46;
Москва;101;0,00000659;247,12;
Зеленоград;4;0,00003622;1 357,58;
Пущино;2;0,00014206;5 324,20;
Обнинск;2;0,00001842;690,58;
Череповец;1;0,00000392;147,23;
Выборг;2;0,00003514;1 317,21;
Таиланд;1;0,00001982;742,92;
Муром;2;0,00002494;934,85;
Балашиха;1;0,00000194;72,87;
Видное;1;0,00000947;354,91;
Коломна;1;0,00000815;305,53;
Красногорск;1;0,00000414;155,32;
Ногинск;2;0,00002113;791,94;
Одинцово;1;0,00000491;184,18;
Подольск;2;0,00000639;239,59;
Сергиев Посад;1;0,00000852;319,36;
Щелково;1;0,00000719;269,78;
Касимов;1;0,00005167;1 936,70;
Бологое;1;0,00008201;3 073,66;
Новомосковск;1;0,00001043;391,09;
Рыбинск;1;0,00000752;282,16;
Армавир;4;0,00004226;1 584,01;
Каспийск;1;0,00001919;719,48;
Азов;1;0,00001826;684,63;
Новотроицк;1;0,00002135;800,14;
Стерлитамак;1;0,00000596;223,44;
Глазов;1;0,00001697;636,14;
Каменск-Уральский;1;0,00000876;328,61;
Лесной;2;0,00007297;2 735,00;
Нижний Тагил;4;0,00001766;661,97;
Когалым;1;0,00002701;1 012,37;
Нефтеюганск;2;0,00002702;1 012,91;
Миасс;1;0,00000981;367,85;
Чебаркуль;2;0,00008160;3 058,25;
Новый Уренгой;2;0,00002142;802,74;
Минусинск;1;0,00002118;793,99;
Бердск;1;0,00001275;477,98;
Горно-Алтайск;4;0,00007119;2 668,12;
Стрежевой;1;0,00004865;1 823,38;
Выкса;1;0,00002485;931,52;
Искитим;1;0,00002630;985,72;
Лысьва;1;0,00002488;932,51;
Дзержинский;1;0,00002109;790,54;
Нахабино;1;0,00002079;779,22;
Новочебоксарск;1;0,00001232;461,88;
