Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город (курсы|обучение|переобучение|учеба)» по регионам, 24.10.2023 — 24.11.2023, все устройства
Москва и область;78;0,00000329;13,28;
Центр;247;0,00000656;26,41;
Северо-Запад;252;0,00002145;86,36;
Юг;44;0,00000470;18,92;
Поволжье;741;0,00003715;149,57;
Урал;914;0,00009980;401,74;
Сибирь;508;0,00004481;180,39;
Дальний Восток;181;0,00004468;179,88;
Беларусь;4;0,00000139;5,60;
СНГ (исключая Россию);5;0,00000079;3,19;
Грузия;6;0,00007033;283,12;
Узбекистан;1;0,00000189;7,62;
Азия;12;0,00001422;57,25;
Россия;2 895;0,00002718;109,43;
Республика Крым;6;0,00000359;14,46;
Санкт-Петербург и Ленинградская область;32;0,00000434;17,48;
Республика Алтай;4;0,00003224;129,81;
Республика Тыва;1;0,00000784;31,56;
Белгородская область;9;0,00000807;32,48;
Брянская область;4;0,00000491;19,79;
Воронежская область;11;0,00000610;24,56;
Ивановская область;18;0,00002761;111,17;
Калужская область;2;0,00000248;10,01;
Костромская область;17;0,00003967;159,69;
Липецкая область;48;0,00005871;236,33;
Рязанская область;30;0,00003427;137,94;
Смоленская область;4;0,00000653;26,30;
Тверская область;7;0,00000789;31,79;
Тульская область;6;0,00000556;22,40;
Ярославская область;13;0,00001294;52,09;
Архангельская область;26;0,00003835;154,37;
Вологодская область;39;0,00004651;187,24;
Калининградская область;5;0,00000834;33,60;
Мурманская область;38;0,00007277;292,93;
Новгородская область;14;0,00003452;138,95;
Псковская область;1;0,00000255;10,26;
Республика Карелия;34;0,00008472;341,03;
Республика Коми;63;0,00012275;494,11;
Волгоградская область;2;0,00000126;5,08;
Краснодарский край;22;0,00000559;22,50;
Республика Адыгея;1;0,00000448;18,05;
Кабардино-Балкарская Республика;1;0,00000332;13,36;
Чеченская Республика;1;0,00000456;18,39;
Ростовская область;19;0,00000635;25,58;
Ставропольский край;6;0,00000413;16,62;
Кировская область;3;0,00000374;15,09;
Республика Марий Эл;5;0,00001402;56,46;
Нижегородская область;113;0,00003731;150,21;
Оренбургская область;58;0,00004790;192,82;
Пензенская область;3;0,00000346;13,93;
Пермский край;455;0,00026926;1 083,88;
Республика Башкортостан;46;0,00001796;72,32;
Республика Татарстан;9;0,00000350;14,09;
Самарская область;21;0,00000907;36,52;
Саратовская область;2;0,00000126;5,08;
Удмуртская Республика;13;0,00001358;54,69;
Ульяновская область;9;0,00001178;47,44;
Чувашская Республика;4;0,00000514;20,69;
Курганская область;14;0,00003139;126,38;
Свердловская область;640;0,00017655;710,70;
Тюменская область;56;0,00004631;186,42;
Ханты-Мансийский автономный округ - Югра;63;0,00005657;227,75;
Челябинская область;103;0,00004338;174,63;
Ямало-Ненецкий автономный округ;38;0,00009741;392,14;
Алтайский край;25;0,00001869;75,26;
Иркутская область;72;0,00004665;187,79;
Кемеровская область (Кузбасс);35;0,00002241;90,22;
Красноярский край;179;0,00008789;353,80;
Новосибирская область;100;0,00004007;161,30;
Омская область;8;0,00000678;27,29;
Республика Бурятия;2;0,00000431;17,38;
Республика Хакасия;2;0,00000645;25,97;
Томская область;82;0,00013218;532,10;
Амурская область;3;0,00000811;32,67;
Камчатский край;1;0,00000639;25,74;
Магаданская область;8;0,00011671;469,80;
Приморский край;39;0,00004030;162,25;
Республика Саха (Якутия);43;0,00010098;406,48;
Сахалинская область;40;0,00016165;650,72;
Пушкинский район;1;0,00000901;36,30;
Забайкальский край;45;0,00007999;322,01;
Минск и область;4;0,00000356;14,34;
Дмитровский городской округ;2;0,00001088;43,81;
Красногорск (городской округ);1;0,00000236;9,50;
Ленинский район;1;0,00000321;12,93;
Луховицы (городской округ);1;0,00002466;99,27;
Люберцы (городской округ);3;0,00000723;29,10;
Богородский (городской округ);3;0,00001430;57,57;
Одинцовский район;1;0,00000210;8,47;
Пушкинский район;3;0,00000936;37,68;
Рузский городской округ;1;0,00001697;68,34;
Ступино (городской округ);2;0,00001620;65,21;
Всеволожский район;1;0,00000189;7,63;
Выборгский район;2;0,00001674;67,41;
Кингисеппский район;1;0,00001746;70,31;
Тосненский район;1;0,00001058;42,61;
Ярцевский район;1;0,00003754;151,13;
Бологовский район;1;0,00006128;246,70;
Великоустюгский район;1;0,00004857;195,53;
Боровичский район;4;0,00009929;399,69;
Валдайский район;4;0,00044018;1 771,91;
Старорусский район;3;0,00013950;561,53;
Славянский район;1;0,00001757;70,74;
Белокалитвинский район;1;0,00002609;105,04;
Кстовский район;15;0,00012860;517,68;
Павловский район;4;0,00006796;273,59;
Белорецкий район;5;0,00009582;385,71;
Туймазинский район;2;0,00002802;112,80;
Саткинский район;4;0,00010076;405,59;
Нижнеудинский район;1;0,00003988;160,54;
Тайшетский район;2;0,00006114;246,12;
Усть-Кутский район;5;0,00013665;550,07;
Барабинский район;2;0,00011061;445,24;
Каргасокский район;1;0,00015539;625,50;
Нерюнгринский район;12;0,00028837;1 160,81;
Северный Кавказ;8;0,00000245;9,89;
Наманганская область;1;0,00007085;285,19;
Чайковский район;28;0,00045566;1 834,19;
Сортавальский район;3;0,00018239;734,19;
