Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город (отзыв|мнения)» по регионам, 24.10.2023 — 24.11.2023, все устройства
Москва и область;136;0,00000575;215,59;
Центр;157;0,00000417;156,34;
Северо-Запад;25;0,00000212;79,76;
Юг;13;0,00000138;52,05;
Поволжье;65;0,00000325;122,15;
Урал;27;0,00000294;110,49;
Сибирь;20;0,00000176;66,12;
Дальний Восток;4;0,00000098;37,01;
Азия;1;0,00000118;44,41;
Россия;312;0,00000292;109,80;
Республика Крым;1;0,00000059;22,44;
Санкт-Петербург и Ленинградская область;13;0,00000176;66,13;
Республика Алтай;4;0,00003224;1 208,55;
Владимирская область;2;0,00000179;67,24;
Воронежская область;4;0,00000221;83,17;
Калужская область;2;0,00000248;93,20;
Костромская область;2;0,00000466;174,91;
Липецкая область;3;0,00000366;137,51;
Рязанская область;1;0,00000114;42,81;
Смоленская область;1;0,00000163;61,21;
Тверская область;2;0,00000225;84,58;
Тульская область;2;0,00000185;69,54;
Ярославская область;2;0,00000199;74,61;
Вологодская область;7;0,00000834;312,90;
Калининградская область;1;0,00000166;62,57;
Новгородская область;1;0,00000246;92,40;
Республика Карелия;2;0,00000498;186,77;
Республика Коми;1;0,00000194;73,01;
Краснодарский край;5;0,00000127;47,62;
Республика Дагестан;1;0,00000133;50,13;
Республика Калмыкия;1;0,00000879;329,70;
Ростовская область;7;0,00000234;87,76;
Кировская область;2;0,00000249;93,68;
Нижегородская область;7;0,00000231;86,63;
Оренбургская область;4;0,00000330;123,80;
Пермский край;33;0,00001952;731,88;
Республика Башкортостан;5;0,00000195;73,18;
Республика Татарстан;3;0,00000116;43,74;
Самарская область;1;0,00000043;16,19;
Саратовская область;6;0,00000378;141,89;
Удмуртская Республика;2;0,00000209;78,33;
Чувашская Республика;2;0,00000257;96,32;
Свердловская область;15;0,00000413;155,08;
Тюменская область;1;0,00000082;30,99;
Ханты-Мансийский автономный округ - Югра;3;0,00000269;100,97;
Челябинская область;6;0,00000252;94,71;
Ямало-Ненецкий автономный округ;2;0,00000512;192,15;
Иркутская область;1;0,00000064;24,28;
Красноярский край;4;0,00000196;73,60;
Новосибирская область;7;0,00000280;105,12;
Омская область;3;0,00000254;95,30;
Республика Бурятия;1;0,00000215;80,93;
Томская область;1;0,00000161;60,41;
Приморский край;1;0,00000103;38,73;
Сахалинская область;1;0,00000404;151,45;
Забайкальский край;1;0,00000177;66,62;
Красногорск (городской округ);2;0,00000472;177,05;
Ленинский район;2;0,00000642;240,85;
Мытищи (городской округ);5;0,00001292;484,47;
Богородский (городской округ);4;0,00001907;714,71;
Одинцовский район;2;0,00000420;157,76;
Пушкинский район;3;0,00000936;350,81;
Рузский городской округ;2;0,00003395;1 272,59;
Сергиево-Посадский район;3;0,00001448;542,88;
Солнечногорский район;1;0,00000478;179,42;
Щёлковский район;1;0,00000448;168,06;
Выборгский район;2;0,00001674;627,66;
Бологовский район;1;0,00006128;2 296,89;
Кстовский район;1;0,00000857;321,31;
Мелеузовский район;2;0,00004739;1 776,27;
Северный Кавказ;1;0,00000030;11,51;
